课程名称,课程类别,讲师,课程级别,学习人数,评分,价格,用时,课程链接
Activiti6.0工作流引擎深度解析,后端开发,JimmyNo1,中级,576,98%,"
								￥399.00
							",18小时,https://coding.imooc.com//class/226.html
Python前后端分离开发Vue+Django REST framework实战,后端开发,bobby,中级,1482,98%,"
								￥388.00
							",23小时,https://coding.imooc.com//class/131.html
Yii2.0开发一个仿京东商城平台,后端开发,Jason李捷,中级,1542,95%,"
								￥268.00
							",13小时,https://coding.imooc.com//class/57.html
Java从单体到微服务打造房产销售平台,后端开发,格_鲁,中级,574,93%,"
								￥366.00
							",20小时,https://coding.imooc.com//class/174.html
Yii2.0进阶版 高级组件ES/Redis/Sentry优化京东平台,后端开发,Jason李捷,高级,511,99%,"
								￥349.00
							",18小时50分钟,https://coding.imooc.com//class/90.html
基于Storm构建实时热力分布项目实战,后端开发,Michael__PK,中级,304,98%,"
								￥388.00
							",15小时,https://coding.imooc.com//class/172.html
基于Spring Cloud微服务架构  广告系统设计与实现,后端开发,张勤一,中级,628,99%,"
								￥299.00
							",20小时30分钟,https://coding.imooc.com//class/310.html
剖析Framework面试 冲击Android高级职位,移动开发,kerboli,高级,124,100%,"
								￥288.00
							",13小时,https://coding.imooc.com//class/340.html
Java并发编程高阶技术 高性能并发框架源码解析与实战,后端开发,阿神_,高级,684,97%,"
								￥299.00
							",13小时33分钟,https://coding.imooc.com//class/275.html
面试提升必备 全面解析iOS中的Runtime机制,移动开发,逆风i,高级,94,100%,"
								￥366.00
							",17小时30分钟,https://coding.imooc.com//class/300.html
应用Dubbo框架打造仿猫眼项目 理解微服务核心思想,后端开发,Allen,中级,715,98%,"
								￥366.00
							",29小时,https://coding.imooc.com//class/273.html
5G时代必备技能 音视频WebRTC实时互动直播技术入门与实战,移动开发,音视频_李超,中级,302,100%,"
								￥288.00
							",18小时,https://coding.imooc.com//class/329.html
大厂资深面试官 带你破解Android高级面试,移动开发,bennyhuo,高级,352,98%,"
								￥299.00
							",13小时,https://coding.imooc.com//class/317.html
Top团队大牛带你玩转Android性能分析与优化,移动开发,随风绽放,高级,445,97%,"
								￥288.00
							",15小时,https://coding.imooc.com//class/308.html
基于GitHub App业务深度讲解 Kotlin1.2高级特性与框架设计,移动开发,bennyhuo,中级,260,99%,"
								￥266.00
							",12小时30分钟,https://coding.imooc.com//class/232.html
新版React Native+Redux打造高质量上线App,移动开发,CrazyCodeBoy,中级,771,99%,"
								￥399.00
							",22小时,https://coding.imooc.com//class/304.html
Flutter从入门到进阶 实战携程网App,移动开发,CrazyCodeBoy,中级,962,98%,"
								￥348.00
							",22小时,https://coding.imooc.com//class/321.html
手把手开发一个完整即时通讯App,移动开发,Qiujuer,中级,1165,99%,"
								￥466.00
							",36小时55分钟,https://coding.imooc.com//class/100.html
新浪微博资深大牛全方位剖析 iOS 高级面试,移动开发,于海,高级,911,98%,"
								￥366.00
							",16小时,https://coding.imooc.com//class/202.html
快速上手Ionic3多平台开发企业级问答社区,移动开发,ParryKK,中级,559,96%,"
								￥299.00
							",20小时,https://coding.imooc.com//class/163.html
组件化封装思想实战Android App,移动开发,qndroid,中级,1387,97%,"
								￥269.00
							",12小时14分钟,https://coding.imooc.com//class/84.html
Android应用发展趋势必备武器  热修复与插件化  ,移动开发,qndroid,中级,673,99%,"
								￥248.00
							",10小时23分钟,https://coding.imooc.com//class/106.html
Gradle3.0自动化项目构建技术精讲+实战,移动开发,qndroid,中级,444,100%,"
								￥199.00
							",12小时,https://coding.imooc.com//class/206.html
Kotlin入门与进阶,移动开发,bennyhuo,初级,2704,97%,"
								￥188.00
							",17小时 5分钟,https://coding.imooc.com//class/108.html
Android通用框架设计与完整电商App开发,移动开发,傅猿猿,高级,1818,97%,"
								￥348.00
							",24小时,https://coding.imooc.com//class/116.html
Socket网络编程进阶与实战,移动开发,Qiujuer,中级,1211,99%,"
								￥348.00
							",21小时,https://coding.imooc.com//class/286.html
FFmpeg音视频核心技术精讲与实战,移动开发,音视频_李超,中级,587,100%,"
								￥299.00
							",17小时,https://coding.imooc.com//class/279.html
Python服务端工程师就业面试指导,算法&数学,PegasusWang,中级,257,100%,"
								￥288.00
							",12小时25分钟,https://coding.imooc.com//class/318.html
BAT大牛亲授 个性化推荐算法实战,算法&数学,david_beck,中级,307,100%,"
								￥399.00
							",12小时 6分钟,https://coding.imooc.com//class/297.html
JavaScript版 数据结构与算法,算法&数学,快乐动起来呀,中级,1263,98%,"
								￥266.00
							",14小时,https://coding.imooc.com//class/315.html
Python3入门机器学习 经典算法与应用,算法&数学,liuyubobobo,中级,2593,100%,"
								￥499.00
							",25小时,https://coding.imooc.com//class/169.html
结合编程学数学 专为程序员设计的线性代数,算法&数学,liuyubobobo,初级,1380,100%,"
								￥348.00
							",23小时23分钟,https://coding.imooc.com//class/260.html
高等数学-学习算法/人工智能/大数据的第一步,算法&数学,北极小琪,初级,792,91%,"
								￥266.00
							",12小时,https://coding.imooc.com//class/289.html
算法大神带你玩转数据结构 从入门到精通,算法&数学,liuyubobobo,中级,3814,99%,"
								￥299.00
							",25小时,https://coding.imooc.com//class/207.html
看的见的算法 7个经典应用诠释算法精髓,算法&数学,liuyubobobo,中级,1087,100%,"
								￥248.00
							",17小时,https://coding.imooc.com//class/138.html
玩转算法与数据结构,算法&数学,liuyubobobo,中级,8077,99%,"
								￥166.00
							",13小时35分钟,https://coding.imooc.com//class/71.html
玩转算法面试 从真题到思维全面提升算法思维,算法&数学,liuyubobobo,中级,3877,100%,"
								￥266.00
							",18小时10分钟,https://coding.imooc.com//class/82.html
